birdsEUPopulation(Dataset1);;;;;;;;
speciescode;speciesname;keywintering;distribution_surface_area;population_minimum_size;population_maximum_size;CRd_list_cat;red_list_cat_prev;taxFamily_en
A423;Columba junoniae;N;2900;1000;2500;NT;NT;Pigeons and doves
A424;Apus caffer;N;8200;250;350;NT;NT;Swifts
A425;Apus unicolor;N;11000;7500;20000;LC;LC;Swifts
A427;Dendrocopos major canariensis;N;1200;200;200;VU;VU;Woodpeckers
A428;Dendrocopos major thanneri;N;800;1000;1000;LC;NT;Woodpeckers
A429;Dendrocopos syriacus;N;531000;60000;129000;LC;LC;Woodpeckers
A430;Chersophilus duponti;N;24800;2300;2400;VU;VU;Larks
A432;Anthus berthelotii;N;13500;30000;150000;LC;LC;Wagtails and pipits
A433;Lanius nubicus;N;53400;5200;14200;LC;LC;Shrikes
A434;Troglodytes troglodytes fridariensis;N;100;38;38;EN;CR;Wrens
A435;Oenanthe isabellina;N;57200;7000;25200;LC;LC;Chats and flycatchers
A437;Saxicola dacotiae;N;2500;13300;15500;NT;NT;Chats and flycatchers
A439;Hippolais olivetorum;N;117000;4700;9500;LC;LC;Warblers
A440;Sylvia ruppeli;N;21100;3000;10000;LC;LC;Warblers
A442;Ficedula semitorquata;N;66000;3500;7500;LC;LC;Chats and flycatchers
A444;Sitta krueperi;N;2000;540;660;NT;NT;Nuthatches and wallcreeper
A445;Sitta neumayer;N;69300;11200;31500;LC;LC;Nuthatches and wallcreeper
A446;Emberiza cineracea;N;3800;80;200;EN;VU;Buntings
A447;Emberiza caesia;N;181000;15000;40000;LC;LC;Buntings
A448;Fringilla coelebs ombriosa;N;500;1000;5000;NT;NT;Finches
A450;Serinus canaria;N;16900;1190000;2490000;LC;LC;Finches
A451;Loxia scotica;N;-1;4000;11400;LC;LC;Finches
A452;Bucanetes githagineus;N;6600;10300;20600;LC;LC;Finches
A453;Pyrrhula murina;N;700;250;850;VU;EN;Finches
A455;Columba trocaz;N;1300;10000;14000;LC;LC;Pigeons and doves
A456;Surnia ulula;N;336000;1400;21200;LC;LC;Typical owls
A457;Strix nebulosa;N;219000;690;1600;LC;LC;Typical owls
A459;Larus cachinnans;N;9000;5600;9600;LC;LC;Gulls and terns
A460-X;Meleagris gallopavo;N;-1;;;EN;EN;Pheasants, partridges and grouse
A461;Lagopus lagopus lagopus;N;365000;108000;495000;NT;EN;Pheasants, partridges and grouse
A463;Lagopus lagopus hibernica;N;17100;1900;2400;VU;VU;Pheasants, partridges and grouse
A464;Puffinus yelkouan;N;63900;23500;40400;VU;LC;Petrels and shearwaters
A466;Calidris alpina schinzii;N;58100;9000;11200;EN;EN;Sandpipers, snipes and phalaropes
A467;Oenanthe cypriaca;N;7500;50000;100000;LC;LC;Chats and flycatchers
A468;Sylvia melanothorax;N;7300;60000;90000;LC;LC;Warblers
A469;Certhia brachydactyla dorotheae;N;2100;4000;5300;LC;LC;Treecreepers
A471;Periparus ater cypriotes;N;2500;43000;79000;LC;LC;Tits
A472;Periparus ater all others;N;2350000;10900000;18600000;LC;EN;Tits
A473;Periparus ater;N;2350000;11000000;18700000;LC;LC;Tits
A474;Acanthis flammea;N;962000;875000;2090000;LC;LC;Finches
A475;Alaudala rufescens;N;15100;240000;281000;LC;LC;Larks
A476;Linaria cannabina;N;2820000;13900000;19100000;LC;LC;Finches
A477;Linaria flavirostris;N;59700;6000;10800;VU;VU;Finches
A478;Spinus spinus;N;1570000;2680000;4640000;LC;LC;Finches
A479;Cecropis daurica;N;539000;1370000;3190000;LC;LC;Swallows and martins
A480;Cyanecula svecica;N;367000;235000;484000;LC;LC;Chats and flycatchers
A481;Cyanopica cooki;N;139000;356000;896000;LC;LC;Crows and jays
A483;Cyanistes caeruleus s. str.;N;3530000;24900000;38800000;LC;LC;Tits
A484;Cyanistes teneriffae;N;8700;20300;101000;LC;EN;Tits
A485;Fringilla polatzeki;N;400;150;160;EN;EN;Finches
A486;Fringilla teydea s. str.;N;1300;1000;2500;NT;NT;Finches
A487;Iduna pallida s. str.;N;244000;168000;428000;LC;LC;Warblers
A488;Iduna opaca;N;13400;5000;5000;LC;LC;Warblers
A490;Poecile cinctus;N;174000;71800;196000;NT;VU;Tits
A491;Poecile lugubris;N;224000;26000;74100;LC;LC;Tits
A492;Poecile montanus;N;1650000;2050000;3550000;NT;VU;Tits
A493;Poecile palustris;N;1760000;2880000;5180000;LC;LC;Tits
A494;Pastor roseus;N;11000;1200;35000;LC;LC;Starlings
A496;Lanius meridionalis;N;160000;360000;607000;VU;EN;Shrikes
A497;Lophophanes cristatus;N;1930000;3490000;6000000;LC;LC;Tits
A498;Phylloscopus orientalis;N;55400;14000;37100;LC;EN;Warblers
A499;Phylloscopus bonelli s. str.;N;428000;2360000;3120000;LC;LC;Warblers
A500;Sylvia sarda s. str.;N;29400;60000;65000;LC;LC;Warblers
A506;Polysticta stelleri;Y;-1;800;1600;EN;EN;Ducks, geese and swans
A511;Falco cherrug;N;33800;210;280;EN;VU;Falcons
A515;Glareola nordmanni;N;-1;0;0;CR;CR;Coursers and pratincoles
A516;Charadrius leschenaultii;Y;-1;15;25;CR;CR;Plovers
A532;Oenanthe finschii;Y;-1;150;300;NT;EN;Chats and flycatchers
A533;Oenanthe pleschanka;N;1300;610;1200;LC;LC;Chats and flycatchers
A534;Tarsiger cyanurus;N;11800;750;5600;LC;LC;Chats and flycatchers
A540;Emberiza aureola;N;-1;0;0;CR;CR;Buntings
A542;Emberiza rustica;N;212000;167000;319000;LC;VU;Buntings
A544;Loxia leucoptera;N;137000;2200;56000;LC;LC;Finches
A545;Pinicola enucleator;N;127000;6800;22800;LC;LC;Finches
A548;Perisoreus infaustus;N;352000;70500;155000;LC;LC;Crows and jays
A569;Sylvia balearica;N;3100;14000;25000;LC;EN;Warblers
A570;Sylvia hortensis s. str.;N;100000;123000;246000;LC;LC;Warblers
A571;Sylvia crassirostris;N;203000;16000;62000;LC;EN;Warblers
A572;Phylloscopus collybita s. str.;N;2990000;21200000;32700000;LC;LC;Warblers
A573;Phylloscopus trochiloides s. str.;N;145000;41100;125000;LC;LC;Warblers
A574;Sylvia curruca;N;2250000;2440000;4040000;LC;LC;Warblers
A604;Larus michahellis;N;232000;382000;491000;LC;LC;Gulls and terns
A605;Phylloscopus borealis;N;3600;160;830;VU;VU;Warblers
A608;Motacilla citreola;N;10800;460;850;LC;LC;Wagtails and pipits
A613;Phylloscopus canariensis;N;7400;20000;100000;LC;LC;Warblers
A618;Phylloscopus ibericus;N;86300;462000;768000;LC;LC;Warblers
A620;Passer domesticus s. str.;N;2980000;109000000;144000000;LC;LC;Sparrows, snowfinches and allies
A621;Passer italiae;N;295000;2100000;3430000;VU;EN;Sparrows, snowfinches and allies
A623;Carduelis citrinella s. str.;N;73900;240000;263000;LC;LC;Finches
A629;Lagopus lagopus rossica;N;1700;10;21;CR;EN;Pheasants, partridges and grouse
A637;Certhia brachydactyla all others;N;1730000;4770000;7690000;LC;EN;Treecreepers
A644;Perdix perdix all others;N;1270000;762000;1290000;VU;EN;Pheasants, partridges and grouse
A652;Regulus madeirensis;N;1600;50000;100000;LC;LC;Goldcrests
A657;Fringilla coelebs all others;N;4630000;82300000;121000000;LC;EN;Finches
A658;Dendrocopos major all others;N;3200000;4540000;6980000;LC;EN;Woodpeckers
A663;Phoenicopterus roseus;N;7500;24600;84500;LC;LC;Flamingos
A666;Anthus petrosus;N;162000;64700;82300;LC;LC;Wagtails and pipits
A669;Carduelis corsicana;N;17500;13000;25500;LC;LC;Finches
A672;Calidris alpina alpina;N;88200;21500;39500;LC;EN;Sandpipers, snipes and phalaropes
A676;Troglodytes troglodytes all others;N;3300000;29700000;48400000;LC;EN;Wrens
A677;Apus affinis;N;1000;22;22;VU;VU;Swifts
A679;Acrocephalus dumetorum;N;233000;120000;313000;LC;LC;Warblers
A680;Acrocephalus agricola;N;470;3000;20200;LC;LC;Warblers
A684;Phalacrocorax aristotelis aristotelis;N;71600;27900;35200;LC;EN;Cormorants
A686;Iduna caligata;N;7600;460;1800;LC;LC;Warblers
A687;Columba palumbus palumbus;N;3520000;18900000;25900000;LC;EN;Pigeons and doves
A693;Puffinus mauretanicus;N;1700;2900;3000;CR;CR;Petrels and shearwaters
A701;Anser fabalis fabalis;N;102000;1200;3100;VU;EN;Ducks, geese and swans
A702;Anser fabalis rossicus;Y;-1;647000;878000;LC;EN;Ducks, geese and swans
A707;Aquila fasciata;N;153000;1000;1200;LC;NT;Hawks and eagles
A711;Lagopus lagopus scotica;N;87200;264000;265000;LC;LC;Pheasants, partridges and grouse
A712;Lagopus muta pyrenaica;N;7000;1300;5400;NT;NT;Pheasants, partridges and grouse
A713;Lagopus muta helvetica;N;88200;23400;31800;LC;LC;Pheasants, partridges and grouse
A716;Francolinus francolinus francolinus;N;6900;3600;7600;LC;EN;Pheasants, partridges and grouse
A717;Turnix sylvaticus;N;-1;0;0;CR;CR;Buttonquails
A722;Porphyrio porphyrio porphyrio;N;32900;4000;4800;LC;LC;Rails, gallinules and coots
A727;Eudromias morinellus;N;98900;3700;7800;LC;LC;Plovers
A728;Vanellus spinosus;N;4400;80;130;VU;VU;Plovers
A734;Chlidonias hybrida;N;41900;25100;41500;LC;LC;Gulls and terns
A736;Bubo scandiacus;N;5200;0;47;CR;CR;Typical owls
A738;Delichon urbicum;N;3530000;8550000;18600000;LC;LC;Swallows and martins
A767;Mergellus albellus;N;145000;2800;6900;LC;LC;Ducks, geese and swans
A773;Ardea alba;N;110000;7700;10800;LC;LC;Herons
A798;Larus armenicus;Y;-1;50;200;VU;EN;Gulls and terns
A800;Larus ichthyaetus;N;-1;0;0;EN;EN;Gulls and terns
A839;Lagopus muta;N;197000;113000;247000;LC;VU;Pheasants, partridges and grouse
A850;Calonectris diomedea s. str.;N;122000;28500;47100;LC;LC;Petrels and shearwaters
A851;Calonectris borealis;N;12700;251000;253000;LC;LC;Petrels and shearwaters
A854;Hydrobates leucorhous;N;500;36700;65200;VU;VU;Northern storm-petrels
A855;Mareca penelope;N;508000;41600;70100;VU;VU;Ducks, geese and swans
A856;Spatula querquedula;N;337000;9100;18200;VU;VU;Ducks, geese and swans
A857;Spatula clypeata;N;481000;24100;34500;NT;LC;Ducks, geese and swans
A858;Clanga pomarina;N;196000;10800;15300;LC;LC;Hawks and eagles
A859;Clanga clanga;N;3100;18;31;CR;CR;Hawks and eagles
A860;Calidris falcinellus;N;135000;18300;32900;VU;LC;Sandpipers, snipes and phalaropes
A861;Calidris pugnax;N;223000;41500;94700;NT;EN;Sandpipers, snipes and phalaropes
A862;Hydrocoloeus minutus;N;182000;11700;16000;LC;LC;Gulls and terns
A863;Thalasseus sandvicensis;N;24800;59000;68700;LC;LC;Gulls and terns
A866;Picus viridis s. str.;N;2010000;500000;912000;LC;LC;Woodpeckers
A867;Picus sharpei;N;184000;244000;469000;LC;NT;Woodpeckers
A868;Leiopicus medius;N;1040000;254000;562000;LC;LC;Woodpeckers
A869;Dryobates minor;N;1730000;177000;374000;NT;LC;Woodpeckers
A872;Pterodroma deserta;N;200;160;180;VU;VU;Petrels and shearwaters
A874;Hydrobates castro;N;2500;6600;2200;LC;LC;Northern storm-petrels
A875;Microcarbo pygmaeus;N;21600;16100;18300;LC;LC;Cormorants
A876;Lyrurus tetrix tetrix;N;911000;518000;863000;VU;EN;Pheasants, partridges and grouse
A877;Lyrurus tetrix britannicus;N;43300;4800;4900;LC;VU;Pheasants, partridges and grouse
A878;Alectoris graeca all others;N;186000;24000;36200;NT;EN;Pheasants, partridges and grouse
A880;Puffinus lherminieri;N;4000;2500;5900;NT;NT;Petrels and shearwaters
A882;Onychoprion fuscatus;N;-1;1;1;CR;EN;Gulls and terns
A884;Hydrobates monteiroi;N;-1;360;390;VU;VU;Northern storm-petrels
A885;Sternula albifrons;N;100000;12600;18100;LC;LC;Gulls and terns
A887;Uria aalge all others;N;32300;1650000;1670000;LC;EN;Auks
A889;Mareca strepera;N;546000;52400;77500;LC;LC;Ducks, geese and swans
A891;Lagopus muta all others;N;102000;89000;210000;LC;EN;Pheasants, partridges and grouse
A892;Zapornia parva;N;54400;6000;16400;LC;LC;Rails, gallinules and coots
A893;Zapornia pusilla;N;9800;110;300;NT;NT;Rails, gallinules and coots
A894;Hydroprogne caspia;N;34800;1700;2100;LC;NT;Gulls and terns
A897;Spilopelia senegalensis;N;600;60;80;NT;EN;Pigeons and doves
A898;Accipiter nisus all others;N;2760000;198000;341000;LC;EN;Hawks and eagles
A899;Accipiter gentilis all others;N;1890000;56300;95300;LC;EN;Hawks and eagles
A900;Melanitta nigra s. str.;N;165000;6000;9900;LC;LC;Ducks, geese and swans
A907;Sylvia subalpina;N;65600;51000;133000;LC;EN;Warblers
A909;Lyrurus tetrix;N;954000;523000;868000;VU;LC;Pheasants, partridges and grouse
