birdsEUPopulation(Dataset1);;;;;;;;
speciescode;speciesname;keywintering;distribution_surface_area;population_minimum_size;population_maximum_size;CRd_list_cat;red_list_cat_prev;taxFamily_en
A097;Falco vespertinus;N;19000;2500;4000;VU;VU;Falcons
A098;Falco columbarius;N;400000;6700;14400;VU;LC;Falcons
A099;Falco subbuteo;N;1770000;40600;74300;LC;LC;Falcons
A100;Falco eleonorae;N;42900;14100;14400;LC;LC;Falcons
A101;Falco biarmicus;N;82600;140;170;EN;VU;Falcons
A102;Falco rusticolus;N;99600;90;130;EN;VU;Falcons
A103;Falco peregrinus;N;1380000;10900;12800;LC;LC;Falcons
A104;Bonasa bonasia;N;921000;548000;927000;VU;LC;Pheasants, partridges and grouse
A105;Lagopus lagopus;N;471000;374000;762000;LC;VU;Pheasants, partridges and grouse
A108;Tetrao urogallus;N;790000;468000;1170000;LC;LC;Pheasants, partridges and grouse
A109;Alectoris graeca;N;199000;25500;37700;NT;VU;Pheasants, partridges and grouse
A110;Alectoris rufa;N;708000;4970000;6850000;NT;LC;Pheasants, partridges and grouse
A111;Alectoris barbara;N;34300;7700;20500;LC;LC;Pheasants, partridges and grouse
A112;Perdix perdix;N;1290000;767000;1320000;VU;LC;Pheasants, partridges and grouse
A113;Coturnix coturnix;N;1690000;1130000;2490000;LC;LC;Pheasants, partridges and grouse
A115;Phasianus colchicus;N;-1;50;100;EN;LC;Pheasants, partridges and grouse
A115-X;Phasianus colchicus;N;1750000;2500000;3480000;LC;LC;Pheasants, partridges and grouse
A118;Rallus aquaticus;N;901000;84100;197000;LC;LC;Rails, gallinules and coots
A119;Porzana porzana;N;331000;8900;21500;LC;LC;Rails, gallinules and coots
A122;Crex crex;N;731000;119000;277000;NT;LC;Rails, gallinules and coots
A123;Gallinula chloropus;N;1870000;672000;921000;LC;LC;Rails, gallinules and coots
A125;Fulica atra;N;1800000;560000;844000;LC;LC;Rails, gallinules and coots
A126;Fulica cristata;N;4700;21;45;CR;EN;Rails, gallinules and coots
A127;Grus grus;N;1000000;124000;169000;LC;LC;Cranes
A128;Tetrax tetrax;N;98600;69500;150000;EN;VU;Bustards
A129;Otis tarda;N;44200;32000;37300;LC;LC;Bustards
A130;Haematopus ostralegus;N;573000;175000;197000;VU;VU;Oystercatchers
A131;Himantopus himantopus;N;217000;23300;74600;LC;LC;Avocets and stilts
