speciescode;speciesname;keywintering;distribution_surface_area;population_minimum_size;population_maximum_size;red_list_cat;conclusion_status_label;red_list_cat_prev;conclusion_status_label_prev;taxFamily_en;country;nationally_hunted;Risk_Country
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Ireland;Yes;High
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;United Kingdom;Yes;Alarming
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Hungary;No;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Hungary;No;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Romania;Yes;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Germany;Yes;High
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Denmark;Yes;Alarming
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Estonia;Yes;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Spain;Yes;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Slovakia;No;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;United Kingdom;Yes;Alarming
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Slovenia;No;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Austria;Yes;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Belgium;Yes;Alarming
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Bulgaria;Yes;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Cyprus;Yes;Few
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Czech Republic;No;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Netherlands;No;High
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Portugal;Yes;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Sweden;Yes;Alarming
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Poland;Yes;High
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Portugal;Yes;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Slovenia;No;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Italy;Yes;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Lithuania;Yes;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Luxembourg;No;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Latvia;Yes;High
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Malta;Yes;Few
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Netherlands;No;High
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Greece;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Finland;Yes;High
